Latitude,Longitude
18.75416667,37.50416667
18.84583333,37.42916667
18.87083333,37.4125
18.92083333,37.4125
18.25416667,38.1375
19.3125,37.32083333
19.32916667,37.32083333
22.6875,36.00416667
23.14583333,35.62083333
26.67083333,36.17916667
29.12916667,32.65416667
10.79583333,43.82083333
10.85416667,43.77083333
10.97916667,43.6625
10.37916667,44.55416667
10.37916667,44.5875
10.50416667,44.20416667
10.5625,44.10416667
10.6625,45.45416667
10.7875,45.95416667
10.80416667,45.70416667
10.72916667,46.62083333
10.77916667,46.20416667
10.77916667,46.72083333
10.42916667,51.02083333
11.0625,43.6125
11.3125,48.57916667
13.00416667,45.17083333
20.52083333,58.54583333
23.97916667,51.9125
23.9625,52.0875
24.70416667,54.6625
23.9125,68.1875
23.9375,68.59583333
23.97916667,68.09583333
23.99583333,68.37916667
24.0375,67.9875
24.0125,68.07916667
25.54583333,66.4375
12.72916667,120.7958333
12.90416667,120.7791667
12.97083333,120.7708333
47.0875,37.57083333
31.2625,16.0875
37.25416667,9.3875
31.10416667,20.17083333
31.10416667,27.90416667
31.0375,32.70416667
31.05416667,32.6125
31.3625,34.2625
31.42083333,34.32916667
31.47083333,34.37916667
36.2875,29.27083333
36.65416667,31.6625
36.7125,31.57083333
36.75416667,31.45416667
36.82916667,31.17916667
36.52083333,32.0625
36.30416667,34.02916667
36.39583333,34.07916667
36.55416667,34.24583333
36.60416667,34.32083333
36.6625,34.42083333
37.02083333,27.9625
37.2625,27.6125
44.49583333,33.59583333
44.67083333,33.54583333
44.72916667,33.54583333
44.85416667,33.60416667
44.90416667,33.6125
45.24583333,29.69583333
45.05416667,33.57916667
45.1125,33.5375
45.19583333,33.4125
45.44583333,33.20416667
45.84583333,33.67916667
45.92916667,33.7625
45.35416667,36.47916667
45.47083333,36.30416667
30.04583333,48.87083333
30.3375,48.8375
30.3625,48.87916667
30.15416667,49.3875
37.22916667,53.99583333
37.25416667,53.99583333
39.2125,49.02083333
39.62083333,49.3125
39.94583333,53.6625
42.54583333,41.52916667
42.62916667,41.50416667
42.69583333,41.47083333
42.7375,41.42916667
42.80416667,41.14583333
42.9625,41.07083333
43.00416667,40.9375
43.6125,47.55416667
44.79583333,47.02916667
45.49583333,47.6125
45.57916667,48.00416667
45.7375,48.2875
45.9125,48.80416667
46.05416667,49.00416667
47.02083333,52.45416667
37.07083333,119.3291667
37.77083333,119.1708333
38.2375,117.9291667
38.12083333,118.2291667
38.1125,118.3291667
38.1125,118.4208333
38.12916667,118.8791667
39.1625,118.8458333
39.22083333,118.0291667
32.94583333,120.8958333
33.64583333,120.5791667
33.75416667,120.5375
33.9375,120.4208333
33.99583333,120.3958333
36.02916667,126.7875
37.6125,126.7958333
40.84583333,121.5791667
40.95416667,121.8041667
40.97083333,121.8291667
53.52916667,9.820833333
