longitude,latitude,mpw,area
105.8541667,19.77083333,103164000,29584400000
89.52916667,22.74583333,100352000,7611500000
5.295833333,5.9125,100049000,9238700000
88.10416667,22.30416667,98736400,29721300000
-4.004166667,5.254166667,96623900,10910900000
119.5125,26.0625,95923800,60882100000
81.24583333,8.4625,95802200,10075300000
105.7541667,18.72083333,95672300,27371300000
101.3791667,3.004166667,94001100,1273200000
31.4875,-29.22916667,93193700,29237400000
67.65416667,24.07916667,92886400,8.55E+11
106.6458333,20.62083333,92086100,1939600000
7.9875,4.545833333,91726500,3626700000
30.75416667,31.40416667,90656600,1536600000
79.84583333,7.270833333,90178100,1539900000
106.4625,9.929166667,89810700,3691700000
105.5041667,9.095833333,88988400,5975900000
120.6625,30.14583333,88688800,5169800000
2.4375,6.3625,87299900,58197700000
96.92083333,17.29583333,86990200,34109600000
-60.97916667,8.579166667,85106600,9.38E+11
118.6208333,24.87083333,84528600,5586200000
79.82083333,7.195833333,83533400,777000000
121.4125,28.69583333,80493500,6395700000
105.0291667,-2.404166667,79913700,54785700000
36.25416667,-18.80416667,78122000,1.38E+12
-105.4458333,21.6375,77591500,1.23E+11
117.8458333,38.2625,77347700,4753800000
-6.654166667,34.27083333,75959300,37842400000
9.8625,53.54583333,75822500,1.38E+11
5.4625,5.145833333,74602700,7071200000
117.7208333,39.1125,74585700,2955000000
130.6625,42.3125,73701400,33131800000
31.99583333,46.90416667,72523100,63555400000
3.129166667,36.74583333,72283200,1102500000
124.2041667,7.254166667,71059800,20070900000
0.1375,36.0375,70498000,44447500000
109.1125,-7.679166667,69086500,3710100000
29.54583333,-31.62083333,68617000,19930900000
121.7208333,29.95416667,68543700,3028400000
6.104166667,36.87916667,68350200,8812600000
14.60416667,53.55416667,67494300,1.19E+11
31.0375,-29.8125,67296900,4505300000
96.10416667,16.8375,66875200,7898400000
121.6375,18.32916667,66851800,27676100000
100.8208333,4.029166667,65448700,14834000000
119.2208333,34.7875,64829300,3979200000
113.0041667,22.44583333,62742700,5101800000
3.029166667,6.395833333,62451600,1515500000
119.5708333,37.05416667,62037500,3565700000
80.55416667,5.945833333,62034500,1026100000
103.4458333,3.520833333,60194000,28833400000
120.4208333,22.52083333,59860300,3257900000
107.0125,-6.079166667,58906400,1337200000
108.7958333,-7.670833333,58889700,3746400000
121.2458333,40.92916667,58235100,5054400000
42.77916667,15.82083333,57553300,8775100000
80.17083333,6.070833333,57436500,930300000
-83.5875,10.77916667,57306300,41227700000
120.2041667,16.0375,56440600,6668500000
118.0708333,39.2125,56101900,1583600000
120.6541667,27.7375,54992100,3401500000
5.079166667,36.72083333,54268800,9140000000
121.5791667,40.84583333,54009700,23482500000
51.27083333,28.14583333,53715200,40078600000
-90.70416667,13.92916667,53418000,2274700000
119.2625,39.42083333,52903800,45759500000
116.6041667,23.19583333,52503600,1300000000
66.97083333,24.87083333,52118800,510400000
120.5291667,24.14583333,52095700,2037000000
45.09583333,12.9375,51657900,6082500000
111.9791667,21.7875,51357500,4931100000
124.3708333,40.02916667,50898500,62174000000
-102.1375,17.95416667,50688500,1.11E+11
-79.8375,-2.395833333,50555800,32646000000
87.8875,22.4375,50110000,37745400000
-79.64583333,0.9375,50044800,21554700000
43.0875,14.1375,49958400,5012700000
30.47083333,46.07916667,49922900,73194900000
40.14583333,-3.170833333,49648800,38411300000
117.5791667,38.77083333,49294000,2068800000
106.7791667,-6.104166667,48863500,591400000
110.3875,20.0125,48666800,7146000000
66.72083333,24.9125,48618800,10019700000
108.2208333,-6.245833333,48535900,3708700000
79.99583333,6.429166667,47466700,646800000
28.37916667,-32.67916667,46820100,20533100000
99.99583333,13.37083333,46804500,28638800000
72.37916667,22.3875,46683000,29975000000
110.2125,-7.979166667,46562300,2243900000
107.0125,-5.945833333,44930100,6734400000
5.1375,5.8375,44880400,6825700000
104.1958333,-1.095833333,44460000,42669700000
119.7125,26.77083333,43993100,5570700000
101.4041667,2.804166667,43901500,2129200000
91.8125,22.27083333,43716400,13968600000
-3.729166667,5.195833333,43533200,83133700000
120.8125,36.60416667,42877400,2882900000
-87.7375,15.90416667,42726500,21963200000
121.2875,37.55416667,42456700,2267000000
32.32083333,31.2625,42103600,6076900000
110.2875,-8.0125,41711700,1469800000
-58.34583333,-34.62916667,41558000,2198400000
121.4625,31.42916667,41407200,246400000
53.94583333,37.42083333,41313500,36434700000
-87.3375,13.09583333,41216100,8054000000
89.39583333,22.57916667,41030800,5378600000
-97.15416667,25.9625,40794600,4.75E+11
-9.345833333,32.02916667,40234800,20134500000
32.35416667,29.64583333,40106900,3043600000
105.8208333,-5.570833333,39912100,4755500000
